-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.031,  0.214
-183.800, 80.194, 0.101,  0.247
-183.798, 80.187, 0.213,  0.280
-183.795, 80.177, 0.332,  0.313
-183.791, 80.162, 0.452,  0.346
-183.785, 80.144, 0.540,  0.379
-183.777, 80.123, 0.627,  0.412
-183.764, 80.098, 0.801,  0.445
-183.747, 80.067, 0.968,  0.478
-183.724, 80.031, 1.109,  0.511
-183.696, 79.992, 1.247,  0.544
-183.664, 79.950, 1.378,  0.577
-183.628, 79.905, 1.484,  0.610
-183.590, 79.859, 1.551,  0.643
-183.550, 79.814, 1.582,  0.676
-183.507, 79.769, 1.600,  0.709
-183.464, 79.725, 1.600,  0.742
-183.420, 79.683, 1.586,  0.775
-183.376, 79.642, 1.570,  0.808
-183.332, 79.603, 1.544,  0.841
-183.290, 79.565, 1.516,  0.874
-183.248, 79.528, 1.489,  0.907
-183.206, 79.492, 1.466,  0.940
-183.165, 79.458, 1.446,  0.973
-183.125, 79.424, 1.434,  1.006
-183.084, 79.390, 1.428,  1.039
-183.044, 79.357, 1.429,  1.072
-183.003, 79.324, 1.434,  1.105
-182.962, 79.291, 1.444,  1.138
-182.921, 79.258, 1.457,  1.171
-182.879, 79.225, 1.473,  1.204
-182.837, 79.192, 1.489,  1.237
-182.794, 79.159, 1.504,  1.270
-182.751, 79.126, 1.517,  1.303
-182.708, 79.093, 1.526,  1.336
-182.665, 79.060, 1.532,  1.369
-182.622, 79.027, 1.535,  1.402
-182.578, 78.995, 1.535,  1.435
-182.535, 78.963, 1.534,  1.468
-182.492, 78.931, 1.531,  1.501
-182.449, 78.900, 1.527,  1.534
-182.406, 78.868, 1.524,  1.567
-182.363, 78.837, 1.523,  1.600
-182.321, 78.807, 1.522,  1.633
-182.278, 78.776, 1.524,  1.666
-182.235, 78.745, 1.527,  1.699
-182.192, 78.715, 1.532,  1.732
